Time,ChannelA,ChannelB,ChannelD
(s),(V),(mV),(V)
,,,
0.00127268,1.574803,86.61417,3.425197
0.00127868,1.574803,86.61417,3.385827
0.00128468,1.614173,86.61417,3.385827
0.00129069,1.653543,90.55118,3.385827
0.00129669,1.614173,94.48818,3.464567
0.00130269,1.574803,90.55118,3.425197
0.0013087,1.614173,90.55118,3.385827
0.0013147,1.692913,90.55118,3.385827
0.0013207,1.653543,94.48818,3.385827
0.00132671,1.574803,90.55118,3.385827
0.00133271,1.574803,86.61417,3.385827
0.00133871,1.614173,90.55118,3.385827
0.00134472,1.614173,90.55118,3.346457
0.00135072,1.535433,90.55118,3.385827
0.00135672,1.535433,86.61417,3.385827
0.00136273,1.614173,90.55118,3.385827
0.00136873,1.614173,86.61417,3.385827
0.00137473,1.614173,86.61417,3.385827
0.00138074,1.574803,94.48818,3.385827
0.00138674,1.574803,86.61417,3.385827
0.00139274,1.614173,90.55118,3.385827
0.00139875,1.614173,90.55118,3.385827
0.00140475,1.614173,94.48818,3.385827
0.00141075,1.574803,86.61417,3.346457
0.00141676,1.614173,90.55118,3.385827
0.00142276,1.574803,86.61417,3.385827
0.00142876,1.614173,98.42519,3.385827
0.00143476,1.574803,94.48818,3.346457
0.00144077,1.614173,86.61417,3.425197
0.00144677,1.614173,94.48818,3.425197
0.00145277,1.614173,90.55118,3.385827
0.00145878,1.614173,90.55118,3.346457
0.00146478,1.574803,90.55118,3.385827
0.00147078,1.574803,90.55118,3.425197
0.00147679,1.614173,94.48818,3.346457
0.00148279,1.653543,90.55118,3.385827
0.00148879,1.614173,90.55118,3.385827
0.0014948,1.614173,90.55118,3.385827
0.0015008,1.614173,94.48818,3.385827
0.0015068,1.614173,90.55118,3.425197
0.00151281,1.614173,90.55118,3.385827
0.00151881,1.614173,90.55118,3.425197
0.00152481,1.614173,90.55118,3.385827
0.00153082,1.614173,94.48818,3.385827
0.00153682,1.614173,90.55118,3.385827
0.00154282,1.574803,94.48818,3.385827
0.00154883,1.614173,94.48818,3.425197
0.00155483,1.614173,90.55118,3.385827
0.00156083,1.614173,86.61417,3.385827
0.00156684,1.614173,90.55118,3.346457
0.00157284,1.574803,94.48818,3.385827
0.00157884,1.653543,94.48818,3.385827
0.00158484,1.535433,86.61417,3.346457
0.00159085,1.614173,90.55118,3.346457
0.00159685,1.653543,86.61417,3.425197
0.00160285,1.614173,90.55118,3.385827
0.00160886,1.535433,90.55118,3.385827
0.00161486,1.574803,86.61417,3.385827
0.00162086,1.653543,86.61417,3.425197
0.00162687,1.614173,98.42519,3.346457
0.00163287,1.535433,98.42519,3.385827
0.00163887,1.574803,90.55118,3.425197
0.00164488,1.653543,90.55118,3.385827
0.00165088,1.653543,94.48818,3.385827
0.00165688,1.574803,86.61417,3.385827
0.00166289,1.574803,90.55118,3.385827
0.00166889,1.574803,90.55118,3.346457
0.00167489,1.614173,86.61417,3.346457
0.0016809,1.614173,86.61417,3.385827
0.0016869,1.653543,90.55118,3.425197
0.0016929,1.535433,90.55118,3.425197
0.00169891,1.653543,90.55118,3.385827
0.00170491,1.692913,90.55118,3.385827
0.00171091,1.614173,90.55118,3.385827
0.00171692,1.614173,90.55118,3.385827
0.00172292,1.574803,90.55118,3.425197
0.00172892,1.614173,94.48818,3.385827
0.00173492,1.614173,86.61417,3.425197
0.00174093,1.574803,94.48818,3.385827
0.00174693,1.574803,90.55118,3.385827
0.00175293,1.614173,90.55118,3.346457
0.00175894,1.574803,90.55118,3.385827
0.00176494,1.574803,90.55118,3.425197
0.00177094,1.574803,90.55118,3.385827
0.00177695,1.535433,94.48818,3.346457
0.00178295,1.614173,86.61417,3.385827
0.00178895,1.614173,86.61417,3.425197
0.00179496,1.614173,90.55118,3.425197
